Key,Column,Source_Value,Target_Value
2,email,,clawrence1@dell.com
19,email,enancarrowi@wufoo.com,enancarowi@wufoo.com
477,ip_address,2.168.18.42,2.68.18.42
483,first_name,Ninetta,Nnetta
485,email,jtrimmilldg@opensource.org,
489,first_name,Stacee,
489,email,sivimeydk@telegraph.co.uk,
489,ip_address,98.1.26.75,
989,first_name,Merilee,Freeland
989,email,mboulesrg@gnu.org,ftattersrr@miibeian.gov.cn
989,ip_address,248.71.142.89,55.40.115.247
25,first_name,,Vladamir
25,email,,vgylleo@google.ca
25,ip_address,,57.214.141.16
1001,first_name,,Freeland
1001,email,,ftattersrr@miibeian.gov.cn
1001,ip_address,,55.40.115.247
